userId,sourcedId,status,dateLastModified,metadata,enabledUser,userIds,identifier,orgId,givenName,familyName,middleName,email,username,phone,role,grades,type,password
1,cda272c0-bf6c-4e72-8b13-5f1f3be72339,active,2017-09-21 07:11:54,"",1,"",Ye9n-2BPj-JfZf,1,Jock,Sprott,Idaline,jsprott@spring.perficientads.com,jsprott,725-480-1423,student,06,LDAP,secret
2,bc16d091-7017-4f2f-9109-250fd590ca6a,active,2018-04-01 21:05:50,"",1,"",GbYh-2CV5-Dz19,2,Antonietta,Consterdine,Feliza,aconsterdine@woodland.perficientads.com,aconsterdine,354-733-0622,student,07,LDAP,secret
3,51d4fe98-fd1c-4662-8814-6d9cdde0a3bb,active,2018-01-07 18:04:59,"",1,"",7oAw-fH87-Jg6c,1,Kippy,Taffarello,Ingeberg,ktaffarello@spring.perficientads.com,ktaffarello,881-773-7905,student,07,LDAP,secret
4,ee46775d-5780-416f-ad56-4262ba964759,active,2017-07-09 00:21:48,"",1,"",VuUq-iYY2-3rR7,2,Carlie,Hynard,Nada,chynard@woodland.perficientads.com,chynard,729-602-2070,student,08,LDAP,secret
5,f1db8857-7a97-4696-a9bb-ea4810e6b986,active,2017-09-06 13:02:27,"",1,"",3u9b-d2Qn-Ee0s,1,Marcus,Bishopp,Dreddy,mbishopp@spring.perficientads.com,mbishopp,168-446-9637,student,08,LDAP,secret
6,18e27d22-49d9-407e-a38e-d5ad35577e53,active,2018-02-13 12:37:53,"",1,"",Ur9l-oYH3-VpQ5,2,Ariel,Rome,Edeline,arome@woodland.perficientads.com,arome,926-670-4557,student,07,LDAP,secret
7,7d8efc17-e3e1-4ae5-952d-7a18adfb95ec,active,2018-02-28 07:26:05,"",1,"",26E2-gOJw-XlIu,1,Katrine,Dymott,Jilly,kdymott@spring.perficientads.com,kdymott,223-337-6833,student,08,LDAP,secret
8,3d4616a9-8b7f-4f04-930f-307f59b4a4e0,active,2018-01-06 13:14:23,"",1,"",05Dj-gJ35-96Wq,2,Hank,Ditt,Bert,hditt@woodland.perficientads.com,hditt,211-673-0983,student,07,LDAP,secret
9,fc3e5b00-8070-4e2f-ab16-349aeff07a04,active,2018-04-15 05:25:21,"",1,"",F23y-y5Hk-V677,1,Codee,Jirek,Gerardo,cjirek@spring.perficientads.com,cjirek,718-525-2918,student,08,LDAP,secret
10,7c40af12-c0a2-4dc2-b9f2-43888eea06a1,active,2018-02-06 06:48:30,"",1,"",PeW6-rL13-Pv34,2,Valentina,Tal,Maison,vtal@woodland.perficientads.com,vtal,411-947-4778,student,07,LDAP,secret
11,df5f7953-bcc3-4e1d-9d0d-1f2a231a81e7,active,2018-06-17 22:02:35,"",1,"",BgDp-0MAu-Mg1u,1,Zaneta,Lusher,Orazio,zlusher@spring.perficientads.com,zlusher,203-999-6017,student,06,LDAP,secret
12,61f68e2b-0303-4bce-88ae-735b9d9f9e7d,active,2017-10-03 21:45:18,"",1,"",2k8v-tMCb-Rn05,2,Catha,Francklin,Freida,cfrancklin@woodland.perficientads.com,cfrancklin,625-908-0450,student,08,LDAP,secret
13,6bbab3d3-3cf3-413e-a458-74aa8d9e5344,active,2018-06-22 03:08:02,"",1,"",5r1z-0HFc-Kc1t,1,Daryl,Toke,Larisa,dtoke@spring.perficientads.com,dtoke,359-788-4148,student,07,LDAP,secret
14,eb16468c-34aa-4fc2-aa36-b69acbf06883,active,2018-04-15 17:02:25,"",1,"",8kJ0-t68g-Ie92,2,Ezequiel,Tomasek,Yul,etomasek@woodland.perficientads.com,etomasek,579-101-8604,student,06,LDAP,secret
15,e10ba883-5709-4d69-82ab-a6262be3ffde,active,2017-11-12 14:16:26,"",1,"",E6Hq-lD2h-Z8Xg,1,Trstram,Clynman,Gawen,tclynman@spring.perficientads.com,tclynman,165-161-2907,student,06,LDAP,secret
16,aed16371-7845-4326-998c-c408bad5f14a,active,2017-06-30 15:27:33,"",1,"",RtK3-2FV9-ZjQ9,2,Susanne,Pidgley,Jacynth,spidgley@woodland.perficientads.com,spidgley,349-332-7612,student,08,LDAP,secret
17,a343f045-36b7-41c4-b597-19f7991cd914,active,2018-03-26 10:20:04,"",1,"",EwAa-7JZa-CtQn,1,Binky,Haquin,Josefa,bhaquin@spring.perficientads.com,bhaquin,924-320-1168,student,06,LDAP,secret
18,77448b38-6434-4ca6-9e41-35f95791aec2,active,2017-11-02 10:45:20,"",1,"",T8U4-sM20-6s93,2,Kali,Strachan,Hurley,kstrachan@woodland.perficientads.com,kstrachan,204-572-3324,student,07,LDAP,secret
19,82b92bee-a84d-43c5-a311-6ffc6b12fa73,active,2018-06-08 06:26:38,"",1,"",Y4Ek-b7Qr-Z1Dj,1,Gregoor,Maudling,Luci,gmaudling@spring.perficientads.com,gmaudling,754-710-5491,student,08,LDAP,secret
20,4341324b-d3f7-4f26-8be7-31acc40199a6,active,2017-09-21 23:02:20,"",1,"",FtWs-7PW6-HpU0,2,Dahlia,Tourry,Jessy,dtourry@woodland.perficientads.com,dtourry,362-486-7082,student,08,LDAP,secret
21,e9cb6bc7-fc05-4990-b0d1-bea39fb369b1,active,2018-06-28 22:27:55,"",1,"",JwI0-xKRc-ZqTq,1,Frayda,Torrejon,Bernardo,ftorrejon@spring.perficientads.com,ftorrejon,824-236-9451,student,06,LDAP,secret
22,43e4bdc2-532a-4c9e-8325-9dc1f5230a40,active,2018-03-06 01:45:33,"",1,"",Cu94-uH7z-Gr6j,2,Baryram,Stearley,Melonie,bstearley@woodland.perficientads.com,bstearley,953-126-1727,student,06,LDAP,secret
23,4ee6bea0-5903-4a26-b7bf-4be09f5578a0,active,2018-04-04 12:59:59,"",1,"",HiQk-8JUe-42U8,1,Claudian,O'Neill,Angelika,co'neill@spring.perficientads.com,co'neill,114-149-2353,student,06,LDAP,secret
24,cc5b5fcc-2de2-4600-8202-08add128d881,active,2017-09-28 07:38:20,"",1,"",7wHu-o4K0-W87u,2,Giorgia,Steere,Janine,gsteere@woodland.perficientads.com,gsteere,188-667-9133,student,08,LDAP,secret
